document_id,brand_name,model_name,knowledge_type,file_name,page_number,title,parts_name,parts_number,page_content
doosan-parts-01,doosan,D20/25/30/33S(SE)_7,parts_book,doosan_parts_book.pdf,14,Chassis Component_도면,Chassis Component (샤시 컴포넌트),1-000-0,"{""text"": ""DOOSAN\n\nFigure : 1-000-0\nChassis Component\n\nG/N\nSerial No\n\nFig-No : 1-000-0 / Page-No :1 [SB5120]                      D20S7/D25S7/D30S7/S33S7 (G2 - TIER4)\n"", ""table"": []}"
doosan-parts-02,doosan,D20/25/30/33S(SE)_7,parts_book,doosan_parts_book.pdf,15,Chassis Component_세부 부품 목록,Chassis Component (샤시 컴포넌트),1-000-0,"{""text"": """", ""table"": [{""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""190104-00116"", ""Q'ty"": ""1"", ""Part Name"": ""스티어액슬그룹"", ""Description"": ""1-010-0@2""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""400331-00072"", ""Q'ty"": ""1"", ""Part Name"": ""스티어링실린더"", ""Description"": ""1-010-1@2""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""A402754"", ""Q'ty"": ""1"", ""Part Name"": ""마운트그룹 - 스티어 액슬"", ""Description"": ""1-020-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""A408784"", ""Q'ty"": ""1"", ""Part Name"": ""유압호스그룹 - 파워스티어링"", ""Description"": ""1-030-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""300427-01026"", ""Q'ty"": ""1"", ""Part Name"": ""패널어셈블리;TOP"", ""Description"": ""1-040-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""400414-00357"", ""Q'ty"": ""1"", ""Part Name"": ""에어클리너그룹"", ""Description"": ""1-050-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""400414-00530"", ""Q'ty"": ""1"", ""Part Name"": ""에어크리너어셈블리"", ""Description"": ""1-050-1@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""240103-00469"", ""Q'ty"": ""1"", ""Part Name"": ""머플러그룹"", ""Description"": ""1-060-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""440211-00614"", ""Q'ty"": ""1"", ""Part Name"": ""라디에이터그룹"", ""Description"": ""1-070-0@2""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""440211-00522"", ""Q'ty"": ""1"", ""Part Name"": ""라디에이터어셈블리"", ""Description"": ""1-070-1@2""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""110911-00194"", ""Q'ty"": ""1"", ""Part Name"": ""연료캡그룹"", ""Description"": ""1-080-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""150116-00058"", ""Q'ty"": ""1"", ""Part Name"": ""연료라인그룹"", ""Description"": ""1-090-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""160626-00841"", ""Q'ty"": ""1"", ""Part Name"": ""마운트그룹"", ""Description"": ""1-100-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""250106-00740"", ""Q'ty"": ""1"", ""Part Name"": ""플로어플레이트어셈블리"", ""Description"": ""1-110-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""220105-00182"", ""Q'ty"": ""1"", ""Part Name"": ""페달어셈블리"", ""Description"": ""1-110-1@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""420212-07389"", ""Q'ty"": ""1"", ""Part Name"": ""라인그룹 - 마스트오퍼레이팅"", ""Description"": ""1-120-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""300726-00026"", ""Q'ty"": ""1"", ""Part Name"": ""혼그룹"", ""Description"": ""1-130-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""310208-00564"", ""Q'ty"": ""1"", ""Part Name"": ""와이어그룹"", ""Description"": ""1-140-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""3102058-00571"", ""Q'ty"": ""1"", ""Part Name"": ""3102058-00571"", ""Description"": ""1-140-0@2""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""310208-00567"", ""Q'ty"": ""1"", ""Part Name"": ""와이어그룹"", ""Description"": ""1-140-0@3""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""310208-00570"", ""Q'ty"": ""1"", ""Part Name"": ""와이어그룹"", ""Description"": ""1-150-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""300101-00520"", ""Q'ty"": ""1"", ""Part Name"": ""배터리그룹"", ""Description"": ""1-160-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""A401037"", ""Q'ty"": ""1"", ""Part Name"": ""파워트레인 장치그룹"", ""Description"": ""1-170-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""160609-04175"", ""Q'ty"": ""1"", ""Part Name"": ""프레임그룹;2.0/2.5 톤"", ""Description"": ""1-180-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""160609-04201"", ""Q'ty"": ""1"", ""Part Name"": ""프레임그룹;3.0/3.3 톤"", ""Description"": ""1-180-0@2""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""620204-06186"", ""Q'ty"": ""1"", ""Part Name"": ""오버헤드가드조립품"", ""Description"": ""1-190-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""300605-00237"", ""Q'ty"": ""1"", ""Part Name"": ""인스트루먼트그룹"", ""Description"": ""1-190-1@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""450107-00050"", ""Q'ty"": ""1"", ""Part Name"": ""레저버"", ""Description"": ""1-190-2@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""620204-06230"", ""Q'ty"": ""1"", ""Part Name"": ""FCU-베이직"", ""Description"": ""1-200-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""190202-00132"", ""Q'ty"": ""1"", ""Part Name"": ""스티어링그룹"", ""Description"": ""1-200-1@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""110508-25783"", ""Q'ty"": ""1"", ""Part Name"": ""커버그룹"", ""Description"": ""1-200-2@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""110959-00013"", ""Q'ty"": ""1"", ""Part Name"": ""서프레션어셈블리;D25S-7"", ""Description"": ""1-210-0@1""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""110959-00014"", ""Q'ty"": ""1"", ""Part Name"": ""서프레션어셈블리;D30/33S-7"", ""Description"": ""1-210-0@2""}, {""S/C"": ""S"", ""Item No."": ""-"", ""Part No."": ""620204-02377"", ""Q'ty"": ""1"", ""Part Name"": ""번호판 그룹"", ""Description"": ""1-220-0@1""}]}"
doosan-parts-03,doosan,D20/25/30/33S(SE)_7,parts_book,doosan_parts_book.pdf,16,Axle Gp-Steer_도면,Axle Group-Steer (액슬 그룹-스티어),1-010-0,"{""text"": ""DOOSAN\n\nFigure : 1-010-0\nAxle Gp-Steer\nGroup No : 190104-00116\n\n[Detailed parts diagram with numbered components]\n\nG/N\nSerial No\nFig-No : 1-010-0 / Page-No :2 [SB5120]\n\nD20S7/D25S7/D30S7/S33S7 (G2 - TIER4)\n"", ""table"": []}"
doosan-parts-04,doosan,D20/25/30/33S(SE)_7,parts_book,doosan_parts_book.pdf,17,Axle Gp-Steer_세부 부품 목록,Axle Group-Steer (액슬 그룹-스티어),1-010-0,"{""text"": """", ""table"": [{""S/C"": """", ""Item No."": ""1"", ""Part No."": ""A291167"", ""Q'ty"": ""1"", ""Part Name"": ""빔어셈블리"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""2"", ""Part No."": ""A219789"", ""Q'ty"": ""1"", ""Part Name"": ""너클아셈블리;좌측"", ""Description"": """"}, {""S/C"": ""Z"", ""Item No."": ""02-01"", ""Part No."": ""-"", ""Q'ty"": ""1"", ""Part Name"": ""너클"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""02-02"", ""Part No."": ""D700577"", ""Q'ty"": ""2"", ""Part Name"": ""씨일"", ""Description"": """"}, {""S/C"": ""S"", ""Item No."": ""3"", ""Part No."": ""400331-00072"", ""Q'ty"": ""1"", ""Part Name"": ""스티어링실린더"", ""Description"": ""1-010-1@2""}, {""S/C"": """", ""Item No."": ""4"", ""Part No."": ""101539-00350"", ""Q'ty"": ""2"", ""Part Name"": ""링크어셈블리"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""04-01"", ""Part No."": ""101539-00311"", ""Q'ty"": ""1"", ""Part Name"": ""링크"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""04-02"", ""Part No."": ""D131093"", ""Q'ty"": ""2"", ""Part Name"": ""베어링"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""5"", ""Part No."": ""S0504663"", ""Q'ty"": ""4"", ""Part Name"": ""볼트"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""6"", ""Part No."": ""A219664"", ""Q'ty"": ""1"", ""Part Name"": ""너클아셈블리;우측"", ""Description"": """"}, {""S/C"": ""Z"", ""Item No."": ""06-01"", ""Part No."": ""-"", ""Q'ty"": ""1"", ""Part Name"": ""너클"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""06-02"", ""Part No."": ""D700577"", ""Q'ty"": ""2"", ""Part Name"": ""씨일"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""7"", ""Part No."": ""S0556663"", ""Q'ty"": ""2"", ""Part Name"": ""볼 트"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""8"", ""Part No."": ""S2212261"", ""Q'ty"": ""4"", ""Part Name"": ""소켓볼트"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""9"", ""Part No."": ""S4012633"", ""Q'ty"": ""2"", ""Part Name"": ""너 트"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""10"", ""Part No."": ""S0565666"", ""Q'ty"": ""4"", ""Part Name"": ""볼 트"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""11"", ""Part No."": ""D917097"", ""Q'ty"": ""4"", ""Part Name"": ""하드 와셔"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""12"", ""Part No."": ""S6710021"", ""Q'ty"": ""4"", ""Part Name"": ""그리스니플"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""13"", ""Part No."": ""D909174"", ""Q'ty"": ""4"", ""Part Name"": ""피팅"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""14"", ""Part No."": ""D700572"", ""Q'ty"": ""4"", ""Part Name"": ""스페이서"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""15"", ""Part No."": ""D700576"", ""Q'ty"": ""2"", ""Part Name"": ""킹핀"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""16"", ""Part No."": ""D700583"", ""Q'ty"": ""4"", ""Part Name"": ""핀"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""17"", ""Part No."": ""D700581"", ""Q'ty"": ""2"", ""Part Name"": ""씨일"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""18"", ""Part No."": ""D700584"", ""Q'ty"": ""8"", ""Part Name"": ""씨일"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""19"", ""Part No."": ""D700582"", ""Q'ty"": ""2"", ""Part Name"": ""콘테이퍼롤러베어링"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""20"", ""Part No."": ""D700578"", ""Q'ty"": ""2"", ""Part Name"": ""커버;상부"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""21"", ""Part No."": ""D913003"", ""Q'ty"": ""2"", ""Part Name"": ""너트, 락"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""22"", ""Part No."": ""D131026"", ""Q'ty"": ""2"", ""Part Name"": ""허브아셈블리"", ""Description"": """"}, {""S/C"": ""Z"", ""Item No."": ""22-01"", ""Part No."": ""-"", ""Q'ty"": ""1"", ""Part Name"": ""허브"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""22-02"", ""Part No."": ""140107-00524"", ""Q'ty"": ""1"", ""Part Name"": ""테이퍼롤러베어링어셈블리"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""22-03"", ""Part No."": ""140107-00525"", ""Q'ty"": ""1"", ""Part Name"": ""테이퍼롤러베어링어셈블리"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""23"", ""Part No."": ""100201-01586"", ""Q'ty"": ""2"", ""Part Name"": ""블록"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""24"", ""Part No."": ""S5102603"", ""Q'ty"": ""2"", ""Part Name"": ""스프링 와셔"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""25"", ""Part No."": ""D700157"", ""Q'ty"": ""2"", ""Part Name"": ""캡"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""26"", ""Part No."": ""D700571"", ""Q'ty"": ""2"", ""Part Name"": ""콘테이퍼롤러베어링"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""27"", ""Part No."": ""S0558163"", ""Q'ty"": ""8"", ""Part Name"": ""볼 트"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""28"", ""Part No."": ""D700573"", ""Q'ty"": ""2"", ""Part Name"": ""커버"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""29"", ""Part No."": ""D700574"", ""Q'ty"": ""3"", ""Part Name"": ""심"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""30"", ""Part No."": ""D700575"", ""Q'ty"": ""8"", ""Part Name"": ""심"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""31"", ""Part No."": ""S0511863"", ""Q'ty"": ""8"", ""Part Name"": ""볼트"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""32"", ""Part No."": ""D700579"", ""Q'ty"": ""4"", ""Part Name"": ""롤러베어링"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""33"", ""Part No."": ""D905037"", ""Q'ty"": ""2"", ""Part Name"": ""커넥터"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""34"", ""Part No."": ""S8030061"", ""Q'ty"": ""2"", ""Part Name"": ""오링"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""35"", ""Part No."": ""S8040061"", ""Q'ty"": ""2"", ""Part Name"": ""오링"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""36"", ""Part No."": ""A331884"", ""Q'ty"": ""2"", ""Part Name"": ""잠금너트"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""37"", ""Part No."": ""S0504463"", ""Q'ty"": ""4"", ""Part Name"": ""오링"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""38"", ""Part No."": ""A331885"", ""Q'ty"": ""2"", ""Part Name"": ""로크와셔"", ""Description"": """"}]}"
doosan-parts-05,doosan,D20/25/30/33S(SE)_7,parts_book,doosan_parts_book.pdf,18,Cylinder Gp-Steer_도면,Cylinder Group-Steer (실린더 그룹-스티어),1-010-1,"{""text"": ""DOOSAN\n\nFigure : 1-010-1\nCylinder Gp-Steer\nGroup No : 400331-00072\n\nG/N\nSerial No\n\nFig-No : 1-010-1 / Page-No :2 [SB5120]                    D20S7/D25S7/D30S7/S33S7 (G2 - TIER4)\n"", ""table"": []}"
doosan-parts-06,doosan,D20/25/30/33S(SE)_7,parts_book,doosan_parts_book.pdf,19,Cylinder Gp-Steer_세부 부품 목록,Cylinder Group-Steer (실린더 그룹-스티어),1-010-1,"{""text"": """", ""table"": [{""S/C"": """", ""Item No."": ""1"", ""Part No."": ""D511839"", ""Q'ty"": ""1"", ""Part Name"": ""실린더튜브어셈블리"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""2"", ""Part No."": ""400337-00768"", ""Q'ty"": ""1"", ""Part Name"": ""실린더로드어셈블리"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""3"", ""Part No."": ""110508-23237"", ""Q'ty"": ""2"", ""Part Name"": ""로드커버"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""4"", ""Part No."": ""D511842"", ""Q'ty"": ""2"", ""Part Name"": ""부싱"", ""Description"": """"}, {""S/C"": ""J"", ""Item No."": ""5"", ""Part No."": ""-"", ""Q'ty"": ""2"", ""Part Name"": ""오일씨일"", ""Description"": """"}, {""S/C"": ""J"", ""Item No."": ""6"", ""Part No."": ""-"", ""Q'ty"": ""2"", ""Part Name"": ""더스트와이퍼"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""7"", ""Part No."": ""D511725"", ""Q'ty"": ""2"", ""Part Name"": ""스토퍼"", ""Description"": """"}, {""S/C"": ""J"", ""Item No."": ""8"", ""Part No."": ""-"", ""Q'ty"": ""2"", ""Part Name"": ""오링씨일"", ""Description"": """"}, {""S/C"": ""J"", ""Item No."": ""9"", ""Part No."": ""-"", ""Q'ty"": ""2"", ""Part Name"": ""백업링"", ""Description"": """"}, {""S/C"": ""J"", ""Item No."": ""10"", ""Part No."": ""-"", ""Q'ty"": ""1"", ""Part Name"": ""씨일;피스톤"", ""Description"": """"}, {""S/C"": ""J"", ""Item No."": ""11"", ""Part No."": ""-"", ""Q'ty"": ""1"", ""Part Name"": ""웨어링"", ""Description"": """"}, {""S/C"": ""NS"", ""Item No."": ""12"", ""Part No."": ""D511847"", ""Q'ty"": ""2"", ""Part Name"": ""더스트캡"", ""Description"": """"}, {""S/C"": ""-"", ""Item No."": ""-"", ""Part No."": ""401106-00461"", ""Q'ty"": ""1"", ""Part Name"": ""오일씨일키트"", ""Description"": ""(J 기호포함 부품의 조합)""}]}"
doosan-parts-07,doosan,D20/25/30/33S(SE)_7,parts_book,doosan_parts_book.pdf,20,Steer Axle Mounting_도면,Steer Axle Mounting (스티어 액슬 마운팅),1-020-0,"{""text"": ""DOOSAN\n\nFigure : 1-020-0\nSteer Axle Mounting\nGroup No : A402754\n\nG/N\nSerial No\n\nFig-No : 1-020-0 / Page-No :1 [SB5120]                    D20S7/D25S7/D30S7/S33S7 (G2 - TIER4)\n"", ""table"": []}"
doosan-parts-08,doosan,D20/25/30/33S(SE)_7,parts_book,doosan_parts_book.pdf,21,Steer Axle Mounting_세부 부품 목록,Steer Axle Mounting (스티어 액슬 마운팅),1-020-0,"{""text"": """", ""table"": [{""S/C"": """", ""Item No."": ""1"", ""Part No."": ""A212207"", ""Q'ty"": ""2"", ""Part Name"": ""부싱"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""2"", ""Part No."": ""A213901"", ""Q'ty"": ""2"", ""Part Name"": ""캡"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""3"", ""Part No."": ""D910304"", ""Q'ty"": ""4"", ""Part Name"": ""헥스볼트"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""4"", ""Part No."": ""D917097"", ""Q'ty"": ""4"", ""Part Name"": ""하드와셔"", ""Description"": """"}]}"
doosan-parts-09,doosan,D20/25/30/33S(SE)_7,parts_book,doosan_parts_book.pdf,22,Lines Gp-Power Steering_도면,Lines Group-Power Steering (라인스 그룹-파워 스티어링),1-030-0,"{""text"": ""DOOSAN\n\nFigure : 1-030-0\nLines Gp-Power Steering\nGroup No : A408784\n\nG/N\nSerial No\n\nFig-No : 1-030-0 / Page-No :1 [SB5120]\n\nD20S7/D25S7/D30S7/S33S7 (G2 - TIER4)\n"", ""table"": []}"
doosan-parts-10,doosan,D20/25/30/33S(SE)_7,parts_book,doosan_parts_book.pdf,23,Lines Gp-Power Steering_세부 부품 목록,Lines Group-Power Steering (라인스 그룹-파워 스티어링),1-030-0,"{""text"": """", ""table"": [{""S/C"": """", ""Item No."": ""1"", ""Part No."": ""A402816"", ""Q'ty"": ""1"", ""Part Name"": ""호스어셈블리"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""2"", ""Part No."": ""A402817"", ""Q'ty"": ""1"", ""Part Name"": ""호스어셈블리"", ""Description"": """"}, {""S/C"": ""E"", ""Item No."": ""3"", ""Part No."": ""D909031"", ""Q'ty"": ""125"", ""Part Name"": ""호스"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""4"", ""Part No."": ""A225112"", ""Q'ty"": ""1"", ""Part Name"": ""호스어셈블리"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""5"", ""Part No."": ""S8450016"", ""Q'ty"": ""2"", ""Part Name"": ""클램프"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""6"", ""Part No."": ""D668514"", ""Q'ty"": ""4"", ""Part Name"": ""클립"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""7"", ""Part No."": ""S5010513"", ""Q'ty"": ""2"", ""Part Name"": ""평 와셔"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""8"", ""Part No."": ""S0509863"", ""Q'ty"": ""2"", ""Part Name"": ""볼트"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""9"", ""Part No."": ""D917093"", ""Q'ty"": ""1"", ""Part Name"": ""와셔"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""10"", ""Part No."": ""S0511863"", ""Q'ty"": ""1"", ""Part Name"": ""볼트"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""11"", ""Part No."": ""D580786"", ""Q'ty"": ""1"", ""Part Name"": ""스트랩"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""12"", ""Part No."": ""D917092"", ""Q'ty"": ""1"", ""Part Name"": ""와셔"", ""Description"": """"}, {""S/C"": """", ""Item No."": ""13"", ""Part No."": ""S0509063"", ""Q'ty"": ""1"", ""Part Name"": ""볼트"", ""Description"": """"}]}"
